원어,순화어,분야,뜻,예문,주의,출처,replace_strategy,risk_level,status,한자,word_grade
부사관,"군대에서 장교와 병사 사이에 있는 하사, 중사, 상사, 원사 계급.",복지,"군대에서 장교와 병사 사이에 있는 하사, 중사, 상사, 원사 계급.",,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=89160",gloss,low,review,副士官,고급
부설,어떤 기관에 딸리게 하여 설치함. 또는 그런 시설.,보건·의료,어떤 기관에 딸리게 하여 설치함. 또는 그런 시설.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=59362",gloss,low,review,附設,고급
부양,혼자 생활하기 어려운 사람을 돌봄.,복지,혼자 생활하기 어려운 사람을 돌봄.,,2026-08-30 검수: substitute 승격 반려 — 복지 법률의 '경제적 부양'(부양의무자 기준)인데 '돌봄'은 돌봄서비스로 의미가 이동 — 소비자 대치어 자체가 결함. easy-doc 목록에서도 제거 대상. gloss 유지 (docs/consumer-overlap-policy.md §3.2),"한국어기초사전(국립국어원), target_code=60026",gloss,low,active,扶養,고급
부적격,어떤 것에 자격이 맞지 않음.,금융·세무,어떤 것에 자격이 맞지 않음.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=59743",gloss,low,review,不適格,고급
분기,석 달,,일 년을 넷으로 나눈 삼 개월씩의 기간.,,2026-08-30 검수: easy-doc 내장 목록 대치어 채택으로 substitute 승격 (docs/consumer-overlap-policy.md §3.2) '1분기'·'3분기'처럼 순번을 세는 문맥에서는 '석 달'로 바꾸지 말고 '1~3월'처럼 기간으로 풀어 쓴다.,"한국어기초사전(국립국어원), target_code=59415",substitute,none,active,分期,고급
분담,일이나 책임 등을 나누어 맡음.,,일이나 책임 등을 나누어 맡음.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=59393",gloss,low,review,分擔,고급
분할,여러 개로 쪼개어 나눔.,금융·세무,여러 개로 쪼개어 나눔.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=60264",gloss,low,review,分割,고급
불안감,마음이 편하지 않고 걱정되는 느낌.,보건·의료,마음이 편하지 않고 걱정되는 느낌.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=60389",gloss,low,review,不安感,고급
비과세,세금을 매기지 않음.,금융·세무,세금을 매기지 않음.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=60403",gloss,low,review,非課稅,고급
비영리단체,돈을 버는 것이 목적이 아니라 사회의 이익을 추구하는 것이 목적인 단체.,행정,돈을 버는 것이 목적이 아니라 사회의 이익을 추구하는 것이 목적인 단체.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. 질의어와 다른 표기('비영리 단체')로 매칭됨 — 확인 필요. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=60731",gloss,low,review,非營利團體,고급
사립대,개인이나 민간 단체가 세우고 운영하는 대학.,행정,개인이나 민간 단체가 세우고 운영하는 대학.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=88602",gloss,low,review,私立大,고급
사립학교,개인이나 민간 단체가 세우고 운영하는 학교.,,개인이나 민간 단체가 세우고 운영하는 학교.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. 질의어와 다른 표기('사립 학교')로 매칭됨 — 확인 필요. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=61926",gloss,low,review,私立學校,고급
사용처,물건이나 돈 등을 사용한 곳이나 목적.,,물건이나 돈 등을 사용한 곳이나 목적.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). origin='사:용처'은 순수 한자가 아니라 한자 컬럼을 비움. gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=601929",gloss,low,review,,고급
사임,맡고 있던 일자리를 스스로 그만둠.,,맡고 있던 일자리를 스스로 그만둠.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=61235",gloss,low,review,辭任,고급
상급,높은 등급이나 계급.,보건·의료,높은 등급이나 계급.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=62219",gloss,low,review,上級,고급
상이하다,서로 다르다.,금융·세무,서로 다르다.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). origin='相異하다'은 순수 한자가 아니라 한자 컬럼을 비움. gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=62799",gloss,low,review,,고급
상호작용,짝을 이루거나 관계를 맺고 있는 이쪽과 저쪽 사이에서 이루어지는 작용.,,짝을 이루거나 관계를 맺고 있는 이쪽과 저쪽 사이에서 이루어지는 작용.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. 질의어와 다른 표기('상호 작용')로 매칭됨 — 확인 필요. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=83493",gloss,low,review,相互作用,고급
생계비,살아가는 데 필요한 돈.,보건·의료,살아가는 데 필요한 돈.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=62560",gloss,low,review,生計費,고급
선출,여럿 가운데서 가려 뽑음.,,여럿 가운데서 가려 뽑음.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=63158",gloss,low,review,選出,고급
성공률,어떤 일을 이룰 수 있는 비율.,,어떤 일을 이룰 수 있는 비율.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=63070",gloss,low,review,成功率,고급
소재지,있는 곳,행정,어떤 건물 등이 자리 잡고 있는 곳.,,2026-08-30 검수: easy-doc 내장 목록 대치어 채택으로 substitute 승격 (docs/consumer-overlap-policy.md §3.2),"한국어기초사전(국립국어원), target_code=81660",substitute,none,active,所在地,고급
소진,점점 줄어들어 다 없어짐. 또는 다 써서 없앰.,,점점 줄어들어 다 없어짐. 또는 다 써서 없앰.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=91785",gloss,low,review,消盡,고급
수령액,받은 돈의 액수.,행정,받은 돈의 액수.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=64794",gloss,low,review,受領額,고급
수익금,이익으로 얻은 돈.,복지,이익으로 얻은 돈.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=65539",gloss,low,review,收益金,고급
시범,모범이 되는 본보기를 보임.,,모범이 되는 본보기를 보임.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=66593",gloss,low,review,示範,고급
신기술,이전의 기술보다 더 좋아진 새로운 기술.,복지,이전의 기술보다 더 좋아진 새로운 기술.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=66186",gloss,low,review,新技術,고급
실직,일자리를 잃음,보건·의료,직업을 잃음.,,2026-08-30 검수: easy-doc 내장 목록 대치어 채택으로 substitute 승격 (docs/consumer-overlap-policy.md §3.2),"한국어기초사전(국립국어원), target_code=65961",substitute,none,active,失職,고급
실직자,직업을 잃은 사람.,금융·세무,직업을 잃은 사람.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=65962",gloss,low,review,失職者,고급
심각성,매우 깊고 중대하며 절박한 성질.,행정,매우 깊고 중대하며 절박한 성질.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=66254",gloss,low,review,深刻性,고급
안전망,사람이 다치는 것을 막기 위해 치는 그물.,,사람이 다치는 것을 막기 위해 치는 그물.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=23485",gloss,low,review,安全網,고급
약학,약품의 성질과 효능 등의 기술과 이론을 연구하는 학문.,,약품의 성질과 효능 등의 기술과 이론을 연구하는 학문.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=67017",gloss,low,review,藥學,고급
역량,어떤 일을 해낼 수 있는 힘과 능력.,금융·세무,어떤 일을 해낼 수 있는 힘과 능력.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=70729",gloss,low,review,力量,고급
연도,어떤 일이 일어난 시기를 말하기 위해 편의상 구분한 일 년의 기간.,보건·의료,어떤 일이 일어난 시기를 말하기 위해 편의상 구분한 일 년의 기간.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=67493",gloss,low,review,年度,고급
연수,지식이나 기술 등을 배우고 연구함.,,지식이나 기술 등을 배우고 연구함.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=67569",gloss,low,review,硏修,고급
예정일,어떤 일이 일어날 것을 예상하거나 어떤 일을 하기로 정한 날짜.,복지,어떤 일이 일어날 것을 예상하거나 어떤 일을 하기로 정한 날짜.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=70092",gloss,low,review,豫定日,고급
예치,돈이나 물건을 은행이나 기관 등에 맡겨 둠.,행정,돈이나 물건을 은행이나 기관 등에 맡겨 둠.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=70102",gloss,low,review,預置,고급
예탁,"은행 등의 금융 기관에 돈이나 주식, 물건 등을 부탁하여 맡김.",법률,"은행 등의 금융 기관에 돈이나 주식, 물건 등을 부탁하여 맡김.",,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=70141",gloss,low,review,預託,고급
완료,끝남,금융·세무,완전히 끝마침.,,2026-08-30 검수: easy-doc 내장 목록 대치어 채택으로 substitute 승격 (docs/consumer-overlap-policy.md §3.2),"한국어기초사전(국립국어원), target_code=68688",substitute,none,active,完了,고급
요금제,시설이나 서비스를 이용하는 대가로 값을 치르는 제도.,복지,시설이나 서비스를 이용하는 대가로 값을 치르는 제도.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). origin='料金制'은 순수 한자가 아니라 한자 컬럼을 비움. gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=600960",gloss,low,review,,고급
우위,다른 사람보다 뛰어난 위치나 수준.,,다른 사람보다 뛰어난 위치나 수준.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=69368",gloss,low,review,優位,고급
운송업,돈을 받고 사람을 태워 나르거나 물건을 실어 나르는 영업.,,돈을 받고 사람을 태워 나르거나 물건을 실어 나르는 영업.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=69054",gloss,low,review,運送業,고급
위암,위에 생기는 암.,,위에 생기는 암.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=69599",gloss,low,review,胃癌,고급
위촉,어떤 일을 남에게 부탁하여 맡김.,복지,어떤 일을 남에게 부탁하여 맡김.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=69673",gloss,low,review,委囑,고급
유공자,어떤 일을 이루는 데 공로가 있는 사람.,,어떤 일을 이루는 데 공로가 있는 사람.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=69745",gloss,low,review,有功者,고급
유방암,유방에 생기는 암.,,유방에 생기는 암.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=70358",gloss,low,review,乳房癌,고급
유실,물에 떠내려가서 없어짐.,,물에 떠내려가서 없어짐.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=70551",gloss,low,review,流失,고급
유족,죽은 사람의 남아 있는 가족.,,죽은 사람의 남아 있는 가족.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=70351",gloss,low,review,遺族,고급
유흥,술을 마시며 즐겁게 놂.,,술을 마시며 즐겁게 놂.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=71035",gloss,low,review,遊興,고급
의안,회의에서 의논해야 할 안건.,,회의에서 의논해야 할 안건.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=71905",gloss,low,review,議案,고급
의향,마음이 끌리는 방향이나 어떤 일을 하려는 생각.,복지,마음이 끌리는 방향이나 어떤 일을 하려는 생각.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=71433",gloss,low,review,意向,고급
이중,두 겹. 또는 두 번 겹치는 것.,,두 겹. 또는 두 번 겹치는 것.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=24979",gloss,low,review,二重,고급
인감도장,본인 확인을 위해 관공서나 거래처 등에 그 자국을 미리 제출해 둔 도장.,법률,본인 확인을 위해 관공서나 거래처 등에 그 자국을 미리 제출해 둔 도장.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=72956",gloss,low,review,印鑑圖章,고급
인공수정,수컷의 정액을 암컷의 생식기 안에 인위적으로 넣어 수정시키는 일.,,수컷의 정액을 암컷의 생식기 안에 인위적으로 넣어 수정시키는 일.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. 질의어와 다른 표기('인공 수정')로 매칭됨 — 확인 필요. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=72968",gloss,low,review,人工受精,고급
인턴십,회사나 기관에서 정식으로 채용되지 않은 채 업무를 익히는 과정.인턴,,회사나 기관에서 정식으로 채용되지 않은 채 업무를 익히는 과정.인턴,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). origin='Internship'은 순수 한자가 아니라 한자 컬럼을 비움. gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=601106",gloss,low,review,,고급
일련,계속하여 하나로 이어지는 것.,복지,계속하여 하나로 이어지는 것.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=72773",gloss,low,review,一連,고급
일례,하나의 보기. 또는 한 가지의 예.,,하나의 보기. 또는 한 가지의 예.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=72778",gloss,low,review,一例,고급
일원,단체에 소속된 한 사람.,,단체에 소속된 한 사람.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=72676",gloss,low,review,一員,고급
임신부,아이를 밴 여자.,보건·의료,아이를 밴 여자.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=24597",gloss,low,review,妊娠婦,고급
